Matrikelnummer,Vorname,Nachname,E-Mail,Geschlecht,Year,Haus
421001,Apricot,Angelfish,apricot.angelfish@hex.uni-hogwarts.com,weiblich,1,Slytherin
421005,Amber,Grasshopper,amber.grasshopper@hex.uni-hogwarts.com,weiblich,1,Hufflepuff
421015,Harlequin,Bobcat,harlequin.bobcat@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421018,Jade,Partridge,jade.partridge@hex.uni-hogwarts.com,männlich,1,Gryffindor
421020,Azure,Halibut,azure.halibut@hex.uni-hogwarts.com,männlich,1,Gryffindor
421026,Red,Pinniped,red.pinniped@hex.uni-hogwarts.com,männlich,1,Gryffindor
421030,Magenta,Mongoose,magenta.mongoose@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421033,Maroon,Falcon,maroon.falcon@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421034,Gray,Fox,gray.fox@hex.uni-hogwarts.com,männlich,1,Slytherin
421036,Maroon,Antlion,maroon.antlion@hex.uni-hogwarts.com,weiblich,1,Ravenclaw
421038,Amber,Caribou,amber.caribou@hex.uni-hogwarts.com,weiblich,1,Hufflepuff
421046,Aqua,Goat,aqua.goat@hex.uni-hogwarts.com,weiblich,1,Hufflepuff
421048,Scarlet,Haddock,scarlet.haddock@hex.uni-hogwarts.com,weiblich,1,Ravenclaw
421058,Chocolate,Cod,chocolate.cod@hex.uni-hogwarts.com,weiblich,1,Slytherin
421067,Scarlet,Unicorn,scarlet.unicorn@hex.uni-hogwarts.com,männlich,1,Hufflepuff
421074,Fuchsia,Warbler,fuchsia.warbler@hex.uni-hogwarts.com,männlich,1,Hufflepuff
421077,Rose,Carp,rose.carp@hex.uni-hogwarts.com,männlich,1,Slytherin
421088,Olive,Hoverfly,olive.hoverfly@hex.uni-hogwarts.com,männlich,1,Slytherin
421090,Coral,Salamander,coral.salamander@hex.uni-hogwarts.com,männlich,1,Slytherin
421091,Blue,Alligator,blue.alligator@hex.uni-hogwarts.com,männlich,1,Gryffindor
421098,Gold,Blackbird,gold.blackbird@hex.uni-hogwarts.com,männlich,1,Hufflepuff
421108,Jade,Cicada,jade.cicada@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421109,Amaranth,Mockingbird,amaranth.mockingbird@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421127,Lavender,Haddock,lavender.haddock@hex.uni-hogwarts.com,weiblich,1,Hufflepuff
421129,Cyan,Blackbird,cyan.blackbird@hex.uni-hogwarts.com,weiblich,1,Gryffindor
421130,Green,Bobcat,green.bobcat@hex.uni-hogwarts.com,männlich,1,Hufflepuff
421132,Tan,Mink,tan.mink@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421141,Tan,Amphibian,tan.amphibian@hex.uni-hogwarts.com,weiblich,1,Gryffindor
421150,Magenta,Swordtail,magenta.swordtail@hex.uni-hogwarts.com,männlich,1,Hufflepuff
421153,Maroon,Minnow,maroon.minnow@hex.uni-hogwarts.com,weiblich,1,Ravenclaw
421161,Lime,Orangutan,lime.orangutan@hex.uni-hogwarts.com,männlich,1,Hufflepuff
421165,Silver,Beetle,silver.beetle@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421169,Green,Meadowlark,green.meadowlark@hex.uni-hogwarts.com,weiblich,1,Ravenclaw
421175,Amaranth,Koala,amaranth.koala@hex.uni-hogwarts.com,männlich,1,Gryffindor
421194,Bronze,Flea,bronze.flea@hex.uni-hogwarts.com,männlich,1,Slytherin
421198,Amaranth,Firefly,amaranth.firefly@hex.uni-hogwarts.com,weiblich,1,Ravenclaw
421209,Green,Viper,green.viper@hex.uni-hogwarts.com,weiblich,1,Hufflepuff
421213,Peach,Cricket,peach.cricket@hex.uni-hogwarts.com,männlich,1,Hufflepuff
421232,Gold,Barracuda,gold.barracuda@hex.uni-hogwarts.com,weiblich,1,Hufflepuff
421243,Indigo,Tuna,indigo.tuna@hex.uni-hogwarts.com,weiblich,1,Gryffindor
421253,Purple,Marlin,purple.marlin@hex.uni-hogwarts.com,weiblich,1,Gryffindor
421254,Silver,Jaguar,silver.jaguar@hex.uni-hogwarts.com,weiblich,1,Slytherin
421257,Beige,Rat,beige.rat@hex.uni-hogwarts.com,männlich,1,Hufflepuff
421262,Harlequin,Porcupine,harlequin.porcupine@hex.uni-hogwarts.com,männlich,1,Hufflepuff
421263,Silver,Felidae,silver.felidae@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421272,Yellow,Bird,yellow.bird@hex.uni-hogwarts.com,männlich,1,Slytherin
421276,Chocolate,Gull,chocolate.gull@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421278,Coral,Pheasant,coral.pheasant@hex.uni-hogwarts.com,weiblich,1,Ravenclaw
421288,Gold,Smelt,gold.smelt@hex.uni-hogwarts.com,weiblich,1,Gryffindor
421293,Rose,Sheep,rose.sheep@hex.uni-hogwarts.com,weiblich,1,Slytherin
421297,Gold,Panda,gold.panda@hex.uni-hogwarts.com,weiblich,1,Hufflepuff
421301,Crimson,Yak,crimson.yak@hex.uni-hogwarts.com,weiblich,1,Ravenclaw
421312,Pink,Rabbit,pink.rabbit@hex.uni-hogwarts.com,weiblich,1,Slytherin
421313,Lavender,Stoat,lavender.stoat@hex.uni-hogwarts.com,männlich,1,Gryffindor
421319,Copper,Blackbird,copper.blackbird@hex.uni-hogwarts.com,weiblich,1,Ravenclaw
421322,Olive,Cheetah,olive.cheetah@hex.uni-hogwarts.com,weiblich,1,Hufflepuff
421324,Turquoise,Lamprey,turquoise.lamprey@hex.uni-hogwarts.com,weiblich,1,Slytherin
421333,Moccasin,Kangaroo,moccasin.kangaroo@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421335,Yellow,Kingfisher,yellow.kingfisher@hex.uni-hogwarts.com,männlich,1,Slytherin
421344,Yellow,Magpie,yellow.magpie@hex.uni-hogwarts.com,weiblich,1,Ravenclaw
421348,Salmon,Krill,salmon.krill@hex.uni-hogwarts.com,weiblich,1,Hufflepuff
421351,Gold,Mite,gold.mite@hex.uni-hogwarts.com,männlich,1,Hufflepuff
421359,Crimson,Snake,crimson.snake@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421360,Tomato,Ant,tomato.ant@hex.uni-hogwarts.com,weiblich,1,Ravenclaw
421372,Plum,Mastodon,plum.mastodon@hex.uni-hogwarts.com,männlich,1,Gryffindor
421377,Green,Quail,green.quail@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421378,Gray,Vulture,gray.vulture@hex.uni-hogwarts.com,männlich,1,Slytherin
421379,Plum,Snipe,plum.snipe@hex.uni-hogwarts.com,weiblich,1,Slytherin
421382,Apricot,Koi,apricot.koi@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421386,Indigo,Mandrill,indigo.mandrill@hex.uni-hogwarts.com,männlich,1,Slytherin
421398,Yellow,Shrew,yellow.shrew@hex.uni-hogwarts.com,männlich,1,Hufflepuff
421412,Sapphire,Mollusk,sapphire.mollusk@hex.uni-hogwarts.com,männlich,1,Hufflepuff
421427,Tan,Llama,tan.llama@hex.uni-hogwarts.com,männlich,1,Gryffindor
421433,Aquamarine,Armadillo,aquamarine.armadillo@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421443,Ivory,Cat,ivory.cat@hex.uni-hogwarts.com,weiblich,1,Gryffindor
421454,Green,Guanaco,green.guanaco@hex.uni-hogwarts.com,weiblich,1,Hufflepuff
421460,Yellow,Mammal,yellow.mammal@hex.uni-hogwarts.com,weiblich,1,Slytherin
421462,Azure,Jaguar,azure.jaguar@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421463,Moccasin,Viper,moccasin.viper@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421464,Pink,Pinniped,pink.pinniped@hex.uni-hogwarts.com,männlich,1,Gryffindor
421477,Bronze,Roadrunner,bronze.roadrunner@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421481,Tan,Rhinoceros,tan.rhinoceros@hex.uni-hogwarts.com,männlich,1,Ravenclaw
421490,Blush,Squirrel,blush.squirrel@hex.uni-hogwarts.com,weiblich,1,Hufflepuff
421497,Apricot,Wolverine,apricot.wolverine@hex.uni-hogwarts.com,weiblich,1,Slytherin
