Matrikelnummer,Vorname,Nachname,E-Mail,Geschlecht,Year,Haus
421000,Beige,Angelfish,beige.angelfish@hex.uni-hogwarts.com,männlich,7,Ravenclaw
421002,Plum,Wombat,plum.wombat@hex.uni-hogwarts.com,weiblich,2,Ravenclaw
421003,Green,Mite,green.mite@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421004,Blush,Asp,blush.asp@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421006,Copper,Chameleon,copper.chameleon@hex.uni-hogwarts.com,weiblich,2,Ravenclaw
421007,Coffee,Echidna,coffee.echidna@hex.uni-hogwarts.com,männlich,5,Hufflepuff
421008,Emerald,Walrus,emerald.walrus@hex.uni-hogwarts.com,männlich,2,Slytherin
421009,Indigo,Fly,indigo.fly@hex.uni-hogwarts.com,männlich,4,Gryffindor
421010,Tan,Mockingbird,tan.mockingbird@hex.uni-hogwarts.com,weiblich,3,Gryffindor
421011,Jade,Amphibian,jade.amphibian@hex.uni-hogwarts.com,weiblich,2,Slytherin
421012,Blush,Goldfish,blush.goldfish@hex.uni-hogwarts.com,männlich,3,Gryffindor
421013,Green,Halibut,green.halibut@hex.uni-hogwarts.com,männlich,2,Gryffindor
421014,Gold,Xerinae,gold.xerinae@hex.uni-hogwarts.com,männlich,2,Gryffindor
421016,Tomato,Viper,tomato.viper@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421017,Coffee,Pony,coffee.pony@hex.uni-hogwarts.com,männlich,3,Gryffindor
421019,Olive,Wildcat,olive.wildcat@hex.uni-hogwarts.com,männlich,3,Slytherin
421021,Amethyst,Hare,amethyst.hare@hex.uni-hogwarts.com,weiblich,2,Gryffindor
421022,Harlequin,Pinniped,harlequin.pinniped@hex.uni-hogwarts.com,weiblich,3,Ravenclaw
421023,Turquoise,Tiger,turquoise.tiger@hex.uni-hogwarts.com,männlich,6,Slytherin
421024,Black,Swan,black.swan@hex.uni-hogwarts.com,männlich,4,Slytherin
421025,Green,Otter,green.otter@hex.uni-hogwarts.com,weiblich,3,Slytherin
421027,Teal,Goldfish,teal.goldfish@hex.uni-hogwarts.com,männlich,7,Slytherin
421028,Azure,Toad,azure.toad@hex.uni-hogwarts.com,männlich,5,Slytherin
421029,Lime,Crow,lime.crow@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421031,Emerald,Flyingfish,emerald.flyingfish@hex.uni-hogwarts.com,weiblich,5,Slytherin
421032,Jade,Rodent,jade.rodent@hex.uni-hogwarts.com,weiblich,5,Slytherin
421035,Green,Piranha,green.piranha@hex.uni-hogwarts.com,männlich,2,Ravenclaw
421037,Coral,Pike,coral.pike@hex.uni-hogwarts.com,männlich,2,Hufflepuff
421039,Pink,Swallow,pink.swallow@hex.uni-hogwarts.com,männlich,4,Gryffindor
421040,Red,Tahr,red.tahr@hex.uni-hogwarts.com,weiblich,2,Ravenclaw
421041,Coffee,Ferret,coffee.ferret@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421042,Black,Otter,black.otter@hex.uni-hogwarts.com,männlich,2,Hufflepuff
421043,Brown,Hippopotamus,brown.hippopotamus@hex.uni-hogwarts.com,männlich,2,Ravenclaw
421044,Black,Cephalopod,black.cephalopod@hex.uni-hogwarts.com,weiblich,5,Gryffindor
421045,Yellow,Wombat,yellow.wombat@hex.uni-hogwarts.com,männlich,7,Ravenclaw
421047,Apricot,Koala,apricot.koala@hex.uni-hogwarts.com,weiblich,7,Slytherin
421049,Emerald,Reptile,emerald.reptile@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421050,Aqua,Quail,aqua.quail@hex.uni-hogwarts.com,männlich,5,Ravenclaw
421051,Blush,Meadowlark,blush.meadowlark@hex.uni-hogwarts.com,weiblich,4,Ravenclaw
421052,Plum,Emu,plum.emu@hex.uni-hogwarts.com,männlich,4,Gryffindor
421053,Copper,Goose,copper.goose@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421054,Moccasin,Butterfly,moccasin.butterfly@hex.uni-hogwarts.com,männlich,2,Hufflepuff
421055,Aquamarine,Ox,aquamarine.ox@hex.uni-hogwarts.com,männlich,6,Slytherin
421056,Teal,Silverfish,teal.silverfish@hex.uni-hogwarts.com,männlich,3,Gryffindor
421057,Salmon,Ox,salmon.ox@hex.uni-hogwarts.com,weiblich,7,Slytherin
421059,Fuchsia,Crane,fuchsia.crane@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421060,Yellow,Cat,yellow.cat@hex.uni-hogwarts.com,männlich,5,Slytherin
421061,Purple,Swallow,purple.swallow@hex.uni-hogwarts.com,weiblich,4,Ravenclaw
421062,Beige,Leopon,beige.leopon@hex.uni-hogwarts.com,männlich,5,Hufflepuff
421063,Pink,Parrot,pink.parrot@hex.uni-hogwarts.com,weiblich,4,Hufflepuff
421064,Tan,Manatee,tan.manatee@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421065,Amethyst,Landfowl,amethyst.landfowl@hex.uni-hogwarts.com,männlich,3,Gryffindor
421066,Amber,Bee,amber.bee@hex.uni-hogwarts.com,weiblich,4,Slytherin
421068,Harlequin,Blackbird,harlequin.blackbird@hex.uni-hogwarts.com,männlich,5,Ravenclaw
421069,Aqua,Boar,aqua.boar@hex.uni-hogwarts.com,männlich,2,Gryffindor
421070,Gold,Parakeet,gold.parakeet@hex.uni-hogwarts.com,männlich,5,Gryffindor
421071,Bronze,Coyote,bronze.coyote@hex.uni-hogwarts.com,männlich,6,Slytherin
421072,Lime,Mammal,lime.mammal@hex.uni-hogwarts.com,männlich,6,Ravenclaw
421073,Black,Earthworm,black.earthworm@hex.uni-hogwarts.com,männlich,5,Gryffindor
421075,Olive,Egret,olive.egret@hex.uni-hogwarts.com,männlich,2,Slytherin
421076,Turquoise,Felidae,turquoise.felidae@hex.uni-hogwarts.com,männlich,2,Hufflepuff
421078,Gray,Wolf,gray.wolf@hex.uni-hogwarts.com,weiblich,5,Ravenclaw
421079,Chocolate,Armadillo,chocolate.armadillo@hex.uni-hogwarts.com,männlich,5,Slytherin
421080,Aqua,Clownfish,aqua.clownfish@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421081,Lavender,Goldfish,lavender.goldfish@hex.uni-hogwarts.com,weiblich,2,Gryffindor
421082,Gray,Muskox,gray.muskox@hex.uni-hogwarts.com,männlich,5,Ravenclaw
421083,Amber,Spoonbill,amber.spoonbill@hex.uni-hogwarts.com,weiblich,5,Gryffindor
421084,Red,Centipede,red.centipede@hex.uni-hogwarts.com,männlich,3,Slytherin
421085,Olive,Walrus,olive.walrus@hex.uni-hogwarts.com,männlich,2,Slytherin
421086,Jade,Gull,jade.gull@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421087,Silver,Aphid,silver.aphid@hex.uni-hogwarts.com,männlich,2,Hufflepuff
421089,Violet,Fox,violet.fox@hex.uni-hogwarts.com,weiblich,6,Hufflepuff
421092,Turquoise,Earthworm,turquoise.earthworm@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421093,Scarlet,Mink,scarlet.mink@hex.uni-hogwarts.com,männlich,6,Gryffindor
421094,Aqua,Mouse,aqua.mouse@hex.uni-hogwarts.com,männlich,5,Ravenclaw
421095,Sapphire,Wolf,sapphire.wolf@hex.uni-hogwarts.com,männlich,5,Hufflepuff
421096,Amaranth,Chinchilla,amaranth.chinchilla@hex.uni-hogwarts.com,männlich,4,Slytherin
421097,White,Swift,white.swift@hex.uni-hogwarts.com,weiblich,2,Hufflepuff
421099,Maroon,Rabbit,maroon.rabbit@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421100,Tomato,Worm,tomato.worm@hex.uni-hogwarts.com,männlich,4,Ravenclaw
