Name,Astronomie,Besenfliegen,Geschichte der Zauberei,Kräuterkunde,Verteidigung gegen die dunklen Künste,Verwandlung,Zauberkunst,Zaubertränke
Beige Angelfish,6,5,7,3,4,6,4,4
Apricot Angelfish,4,3,1,8,5,5,3,2
Plum Wombat,5,5,0,9,4,3,2,5
Green Mite,3,5,1,10,5,1,2,4
Blush Asp,5,6,1,6,6,2,4,3
Amber Grasshopper,3,5,4,8,8,0,4,6
Copper Chameleon,4,4,5,6,6,1,3,6
Coffee Echidna,4,4,4,6,9,2,3,5
Emerald Walrus,5,6,4,5,2,4,3,5
Indigo Fly,3,3,2,4,2,2,3,6
Tan Mockingbird,5,5,3,4,8,1,3,9
Jade Amphibian,4,3,1,4,8,5,3,7
Blush Goldfish,5,7,2,9,4,4,2,5
Green Halibut,5,3,4,1,7,3,4,4
Gold Xerinae,4,3,2,3,5,3,3,5
Harlequin Bobcat,5,5,3,4,4,2,4,3
Tomato Viper,3,5,2,7,3,2,4,7
Coffee Pony,4,4,3,2,7,2,3,1
Jade Partridge,4,5,0,7,5,0,2,4
Olive Wildcat,5,4,3,2,3,1,2,7
Azure Halibut,4,4,1,4,6,1,2,4
Amethyst Hare,5,4,3,8,5,1,3,7
Harlequin Pinniped,6,4,4,3,6,3,5,6
Turquoise Tiger,2,4,0,10,5,1,1,5
Black Swan,2,5,2,4,5,2,3,3
Green Otter,5,5,4,6,8,4,3,5
Red Pinniped,3,4,4,6,5,4,2,4
Teal Goldfish,4,8,2,6,1,2,4,4
Azure Toad,3,5,3,7,9,8,3,6
Lime Crow,6,4,0,4,0,5,6,3
Magenta Mongoose,4,5,4,4,8,5,5,3
Emerald Flyingfish,6,3,1,7,4,0,5,6
Jade Rodent,4,3,5,6,6,3,4,4
Maroon Falcon,6,5,3,9,3,3,4,3
Gray Fox,5,3,5,4,8,0,3,5
Green Piranha,4,4,2,7,6,1,3,3
Maroon Antlion,5,6,2,7,4,2,2,6
Coral Pike,5,5,4,6,4,2,3,3
Amber Caribou,5,3,8,3,7,0,4,4
Pink Swallow,2,4,1,3,1,3,3,6
Red Tahr,4,4,3,3,4,4,4,3
Coffee Ferret,2,5,2,4,7,2,3,4
Black Otter,5,2,0,9,7,3,3,5
Brown Hippopotamus,4,5,5,3,4,1,3,8
Black Cephalopod,4,4,3,4,4,3,2,4
Yellow Wombat,5,5,1,7,8,1,4,7
Aqua Goat,4,5,0,4,4,2,3,6
Apricot Koala,4,3,1,3,7,4,3,4
Scarlet Haddock,6,3,4,7,4,6,4,4
Emerald Reptile,4,5,2,3,4,4,5,3
Aqua Quail,5,5,2,5,9,2,5,6
Blush Meadowlark,5,4,4,7,3,1,1,1
Plum Emu,4,4,4,4,5,3,2,5
Copper Goose,4,6,3,8,7,6,3,9
Moccasin Butterfly,6,5,4,8,5,1,4,4
Aquamarine Ox,3,3,2,7,5,5,4,1
Teal Silverfish,4,6,3,8,8,7,2,6
Salmon Ox,4,5,5,5,5,4,4,2
Chocolate Cod,5,5,1,7,8,4,3,5
Fuchsia Crane,6,5,0,7,6,1,3,6
Yellow Cat,5,5,4,6,3,4,4,4
Purple Swallow,4,4,5,10,4,1,2,6
Beige Leopon,4,5,4,6,7,4,2,8
Pink Parrot,5,4,6,2,6,2,4,5
Tan Manatee,4,6,0,3,3,4,5,1
Amethyst Landfowl,5,6,4,7,8,1,5,3
Amber Bee,4,5,5,7,6,5,4,6
Scarlet Unicorn,4,6,2,3,6,4,4,5
Harlequin Blackbird,6,7,2,5,5,3,5,4
Aqua Boar,3,6,3,5,5,0,3,5
Gold Parakeet,6,5,3,7,6,5,5,5
Bronze Coyote,5,4,1,10,4,5,2,8
Lime Mammal,5,3,0,4,5,4,3,6
Black Earthworm,6,4,2,2,2,4,6,3
Fuchsia Warbler,4,4,4,5,7,1,3,7
Olive Egret,6,5,3,4,6,3,4,4
Turquoise Felidae,4,4,2,2,4,2,5,7
Rose Carp,4,4,4,5,5,3,5,8
Gray Wolf,4,5,4,4,7,1,3,4
Chocolate Armadillo,7,7,2,6,8,6,1,1
Aqua Clownfish,5,4,1,6,8,5,2,2
Lavender Goldfish,5,4,1,4,8,5,3,3
Gray Muskox,3,3,2,4,6,3,6,6
Amber Spoonbill,4,4,1,6,5,3,4,5
Red Centipede,4,4,5,3,3,2,3,6
Olive Walrus,4,3,3,5,8,1,3,5
Jade Gull,6,5,3,6,10,1,3,2
Silver Aphid,5,2,4,8,5,6,4,6
Olive Hoverfly,5,4,3,2,4,3,3,4
Violet Fox,4,4,2,3,8,4,3,4
Coral Salamander,4,3,1,5,5,1,3,7
Blue Alligator,4,3,5,5,6,6,4,4
Turquoise Earthworm,4,4,2,7,6,4,4,6
Scarlet Mink,4,3,3,6,8,1,3,1
Aqua Mouse,5,4,3,6,8,4,2,5
Sapphire Wolf,4,6,0,9,7,1,2,7
Amaranth Chinchilla,4,4,2,6,3,3,6,4
White Swift,4,6,7,4,7,1,1,5
Gold Blackbird,7,5,0,6,2,4,2,5
Maroon Rabbit,4,4,3,2,9,1,4,7
Tomato Worm,6,6,1,5,8,4,2,5
Lavender Quokka,4,4,2,7,6,5,5,2
Pink Jaguar,3,4,2,5,7,2,1,5
Magenta Koala,5,5,7,8,5,1,2,6
Tomato Anglerfish,6,7,1,5,5,5,5,3
Moccasin Roundworm,5,6,4,10,8,4,4,4
Amethyst Quail,5,5,3,8,8,2,4,3
Teal Gull,5,6,1,4,5,1,4,4
Jade Cicada,5,4,4,2,7,1,3,2
Amaranth Mockingbird,5,4,2,3,8,5,5,5
Ivory Wildfowl,3,4,5,6,6,4,4,3
Apricot Magpie,5,6,4,6,5,2,5,5
Harlequin Bovid,3,5,3,2,6,3,5,6
Coral Falcon,5,6,2,9,4,1,4,3
Ivory Swordfish,3,6,3,4,7,3,5,2
Lavender Skink,4,4,1,5,2,1,3,6
Green Hookworm,5,5,1,7,4,0,4,9
Moccasin Cricket,4,5,3,6,7,2,3,5
Apricot Coral,6,5,3,6,5,5,4,4
Harlequin Loon,3,4,7,4,3,3,2,5
Yellow Newt,4,4,6,2,6,3,3,2
Coral Ox,5,3,3,5,8,2,3,5
Silver Goat,6,4,1,4,4,5,4,3
Amaranth Fly,4,6,3,6,9,3,3,1
Pink Narwhal,4,2,3,8,7,3,4,4
Gray Antelope,5,4,1,7,7,4,3,5
Turquoise Tern,5,4,3,7,1,6,3,4
Lavender Haddock,4,6,5,10,1,2,2,5
Magenta Crocodile,4,4,0,3,8,1,3,6
Cyan Blackbird,7,5,1,5,5,7,5,6
Green Bobcat,5,4,0,6,2,7,3,1
Chocolate Guineafowl,3,5,1,3,8,6,5,7
Tan Mink,4,4,3,4,6,3,4,2
Olive Armadillo,4,3,1,3,7,3,5,4
Gold Peacock,6,5,4,8,5,2,4,1
Scarlet Whitefish,6,6,3,6,6,2,1,7
Emerald Dog,5,3,4,7,5,8,4,4
Violet Duck,4,5,3,7,4,2,2,1
Blush Bass,3,8,2,8,2,4,3,3
Purple Ox,4,4,8,5,4,2,3,3
Magenta Anaconda,3,4,2,6,6,3,2,6
Tan Amphibian,5,5,4,6,1,3,3,4
Plum Starfish,5,4,3,2,5,3,3,5
White Squirrel,5,5,1,10,5,7,4,5
Cyan Smelt,4,5,3,6,6,4,4,4
Amethyst Tern,4,4,1,4,9,2,3,3
Salmon Koi,5,4,0,7,7,3,3,5
Scarlet Bird,3,4,3,5,3,0,3,6
Copper Koi,4,4,1,6,4,4,4,4
Jade Crane,4,5,5,6,4,4,3,3
Magenta Swordtail,5,2,4,5,4,4,3,1
Harlequin Guanaco,5,4,1,5,4,2,2,4
Blue Sole,4,5,4,4,8,4,3,3
Maroon Minnow,4,5,4,6,3,1,6,3
Silver Rat,6,5,2,5,6,4,4,1
Coral Limpet,4,4,3,7,4,3,3,10
Violet Thrush,5,4,1,6,6,1,3,5
Indigo Wolverine,4,4,0,4,6,3,4,5
Beige Muskox,3,5,5,7,7,0,3,6
Blush Lark,5,5,5,5,5,4,5,5
Rose Coral,4,3,3,3,8,2,4,5
Lime Orangutan,4,6,5,7,4,0,3,6
Aquamarine Cuckoo,5,6,1,7,4,1,5,2
Scarlet Wildebeest,4,5,6,8,4,0,2,7
Peach Leopon,4,6,1,3,3,1,4,5
Silver Beetle,5,4,2,5,4,0,3,3
Brown Gopher,4,6,1,2,4,6,3,5
Tomato Rabbit,5,5,1,6,6,6,3,5
Sapphire Takin,4,5,4,7,6,2,2,4
Green Meadowlark,4,4,3,10,7,1,5,4
Coral Cow,3,4,1,4,7,5,6,4
Plum Amphibian,3,5,1,6,4,5,3,6
Amaranth Earthworm,5,5,2,8,6,4,3,7
Amethyst Tahr,4,6,0,5,5,3,4,5
Orange Crow,3,4,1,5,6,1,2,3
Amaranth Koala,4,5,0,5,8,5,4,4
Coral Barracuda,5,5,2,7,4,1,4,5
Magenta Primate,5,6,0,7,1,3,2,2
Magenta Sole,4,5,6,7,10,2,3,7
Red Herring,4,6,4,5,4,1,5,2
Orange Canidae,4,3,4,4,6,5,3,7
Lavender Coral,3,5,5,5,10,3,2,7
Peach Jackal,5,2,3,4,7,4,3,6
Gray Chickadee,4,3,1,3,7,6,3,5
Violet Sawfish,4,5,5,2,3,3,3,7
Bronze Carp,5,6,5,5,7,2,3,3
Moccasin Bovid,5,6,3,3,4,0,2,5
Black Tahr,3,3,4,8,6,4,4,3
Rose Marten,5,3,1,8,6,3,3,10
Yellow Spoonbill,2,3,3,3,7,3,4,4
Amethyst Gull,5,4,1,2,8,3,4,5
Sapphire Catshark,5,4,3,3,5,2,2,3
Lime Cattle,6,5,1,4,5,2,1,5
Apricot Fox,1,5,4,4,7,5,3,4
Bronze Flea,3,4,3,2,5,2,3,5
Beige Tyrannosaurus,3,4,2,7,8,0,2,4
Yellow Platypus,4,6,1,8,6,4,2,5
Azure Warbler,5,4,1,2,5,4,5,4
Amaranth Firefly,4,3,0,8,4,4,3,3
Gold Walrus,5,3,5,5,9,1,4,3
Purple Quokka,5,5,2,8,4,3,5,2
Pink Possum,4,5,3,10,3,2,5,4
Amber Cobra,4,3,1,4,9,4,2,8
Magenta Caribou,5,4,4,7,6,5,3,4
Jade Leech,3,6,2,4,5,3,4,2
